id,category,question,ground_truth,rag_answer,sources,primary_source,expected_source,notes,score,score_label,recall_success,retrieved_sources
1,factual,What was JPMorgan Chase total revenue in 2024?,"$224,532 million or $224.5 billion","$224,532 million","[{'file': 'JPM_10K_2024.pdf', 'ticker': 'JPM', 'year': '2024'}, {'file': 'JPM_10K_2023.pdf', 'ticker': 'JPM', 'year': '2023'}, {'file': 'JPM_10K_2024.pdf', 'ticker': 'JPM', 'year': '2024'}, {'file': 'JPM_10K_2024.pdf', 'ticker': 'JPM', 'year': '2024'}]",JPM_10K_2024.pdf,JPM_10K_2024.pdf,Look for consolidated statement of income,1.0,Correct,True,"['JPM_10K_2024.pdf', 'JPM_10K_2023.pdf', 'JPM_10K_2024.pdf', 'JPM_10K_2024.pdf']"
2,factual,What are Bank of America four main business segments?,"Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets","Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets.","[{'file': 'BAC_10K_2024.pdf', 'ticker': 'BAC', 'year': '2024'}, {'file': 'BAC_10K_2022.pdf', 'ticker': 'BAC', 'year': '2022'}, {'file': 'JPM_10K_2023.pdf', 'ticker': 'JPM', 'year': '2023'}, {'file': 'BAC_10K_2023.pdf', 'ticker': 'BAC', 'year': '2023'}]",BAC_10K_2024.pdf,BAC_10K_2024.pdf,Check business segment overview section,1.0,Correct,True,"['BAC_10K_2024.pdf', 'BAC_10K_2022.pdf', 'JPM_10K_2023.pdf', 'BAC_10K_2023.pdf']"
3,factual,What was Citigroup total assets at end of 2023?,"$2,416 billion or $2.416 trillion","$2,416,676 million","[{'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}, {'file': 'C_10K_2023.pdf', 'ticker': 'C', 'year': '2023'}, {'file': 'C_10K_2023.pdf', 'ticker': 'C', 'year': '2023'}, {'file': 'C_10K_2022.pdf', 'ticker': 'C', 'year': '2022'}]",C_10K_2024.pdf,C_10K_2023.pdf,Consolidated balance sheet,1.0,Correct,True,"['C_10K_2024.pdf', 'C_10K_2023.pdf', 'C_10K_2023.pdf', 'C_10K_2022.pdf']"
4,factual,How many employees does JPMorgan have?,"Approximately 310,000+ employees","As of December 31, 2025, JPMorganChase had 318,512 employees globally.","[{'file': 'JPM_10K_2025.pdf', 'ticker': 'JPM', 'year': '2025'}, {'file': 'JPM_10K_2024.pdf', 'ticker': 'JPM', 'year': '2024'}, {'file': 'JPM_10K_2023.pdf', 'ticker': 'JPM', 'year': '2023'}, {'file': 'JPM_10K_2023.pdf', 'ticker': 'JPM', 'year': '2023'}]",JPM_10K_2025.pdf,JPM_10K_2024.pdf,Check business overview or workforce section,1.0,Correct,True,"['JPM_10K_2025.pdf', 'JPM_10K_2024.pdf', 'JPM_10K_2023.pdf', 'JPM_10K_2023.pdf']"
5,factual,What is Bank of America CET1 capital ratio in 2024?,11.8% standardized approach,The Bank of America CET1 capital ratio in 2024 is 15.8%.,"[{'file': 'JPM_10K_2025.pdf', 'ticker': 'JPM', 'year': '2025'}, {'file': 'C_10K_2023.pdf', 'ticker': 'C', 'year': '2023'}, {'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}, {'file': 'C_10K_2022.pdf', 'ticker': 'C', 'year': '2022'}]",JPM_10K_2025.pdf,BAC_10K_2024.pdf,Regulatory capital section,0.0,Incorrect,False,"['JPM_10K_2025.pdf', 'C_10K_2023.pdf', 'C_10K_2024.pdf', 'C_10K_2022.pdf']"
6,factual,What was JPMorgan net income in 2024?,"$57.0 billion or $57,040 million","JPMorgan's net income in 2024 was $48,665 million.","[{'file': 'JPM_10K_2024.pdf', 'ticker': 'JPM', 'year': '2024'}, {'file': 'JPM_10K_2024.pdf', 'ticker': 'JPM', 'year': '2024'}, {'file': 'JPM_10K_2023.pdf', 'ticker': 'JPM', 'year': '2023'}, {'file': 'JPM_10K_2025.pdf', 'ticker': 'JPM', 'year': '2025'}]",JPM_10K_2024.pdf,JPM_10K_2024.pdf,Income statement,0.0,Incorrect,True,"['JPM_10K_2024.pdf', 'JPM_10K_2024.pdf', 'JPM_10K_2023.pdf', 'JPM_10K_2025.pdf']"
7,factual,What is Citigroup return on equity ROE in 2024?,Approximately 8.1%,9.4%,"[{'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}, {'file': 'C_10K_2022.pdf', 'ticker': 'C', 'year': '2022'}, {'file': 'C_10K_2023.pdf', 'ticker': 'C', 'year': '2023'}, {'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}]",C_10K_2024.pdf,C_10K_2024.pdf,Financial highlights or ratios section,0.5,Partial,True,"['C_10K_2024.pdf', 'C_10K_2022.pdf', 'C_10K_2023.pdf', 'C_10K_2024.pdf']"
8,factual,What was Bank of America net interest income in 2024?,"$56,060 million or $56.1 billion","$56,060 million","[{'file': 'BAC_10K_2024.pdf', 'ticker': 'BAC', 'year': '2024'}, {'file': 'BAC_10K_2024.pdf', 'ticker': 'BAC', 'year': '2024'}, {'file': 'BAC_10K_2022.pdf', 'ticker': 'BAC', 'year': '2022'}, {'file': 'BAC_10K_2023.pdf', 'ticker': 'BAC', 'year': '2023'}]",BAC_10K_2024.pdf,BAC_10K_2024.pdf,Income statement,1.0,Correct,True,"['BAC_10K_2024.pdf', 'BAC_10K_2024.pdf', 'BAC_10K_2022.pdf', 'BAC_10K_2023.pdf']"
9,factual,How many credit cards does Bank of America have outstanding?,Over 51 million credit card accounts,"Based on the context provided, it is not possible to determine the exact number of credit cards Bank of America has outstanding.","[{'file': 'BAC_10K_2022.pdf', 'ticker': 'BAC', 'year': '2022'}, {'file': 'BAC_10K_2024.pdf', 'ticker': 'BAC', 'year': '2024'}, {'file': 'BAC_10K_2023.pdf', 'ticker': 'BAC', 'year': '2023'}, {'file': 'BAC_10K_2023.pdf', 'ticker': 'BAC', 'year': '2023'}]",BAC_10K_2022.pdf,BAC_10K_2024.pdf,Consumer banking metrics,0.0,Incorrect,True,"['BAC_10K_2022.pdf', 'BAC_10K_2024.pdf', 'BAC_10K_2023.pdf', 'BAC_10K_2023.pdf']"
10,factual,What was Citigroup total revenue in 2024?,"$81,107 million or $81.1 billion",$81.1 billion,"[{'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}, {'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}, {'file': 'C_10K_2023.pdf', 'ticker': 'C', 'year': '2023'}, {'file': 'C_10K_2024.pdf', 'ticker': 'C', 'year': '2024'}]",C_10K_2024.pdf,C_10K_2024.pdf,"Income statement, total revenues",1.0,Correct,True,"['C_10K_2024.pdf', 'C_10K_2024.pdf', 'C_10K_2023.pdf', 'C_10K_2024.pdf']"
